Timestamp,Time_Left_Sec,Price_Stream,Strike_Price,Diff,Up_Price,Best_Bid,Best_Ask,Extra,Slug
2026-01-09T06:22:22.209658+00:00,458,2.13,no_price_data,-,0.47,0.47,0.48,,xrp-updown-15m-1767939300
2026-01-09T06:22:28.161748+00:00,452,2.13,no_price_data,-,0.47,0.47,0.48,,xrp-updown-15m-1767939300
2026-01-09T06:22:33.284627+00:00,447,2.13,no_price_data,-,0.47,0.47,0.48,,xrp-updown-15m-1767939300
2026-01-09T06:22:38.848647+00:00,441,2.13,no_price_data,-,0.54,0.53,0.54,,xrp-updown-15m-1767939300
2026-01-09T06:22:45.155465+00:00,435,2.13,no_price_data,-,0.58,0.57,0.59,,xrp-updown-15m-1767939300
2026-01-09T06:22:51.175946+00:00,429,2.13,no_price_data,-,0.61,0.61,0.62,,xrp-updown-15m-1767939300
2026-01-09T06:22:58.661640+00:00,421,2.13,no_price_data,-,0.68,0.67,0.69,,xrp-updown-15m-1767939300
2026-01-09T06:23:07.782474+00:00,412,2.13,no_price_data,-,0.68,0.66,0.69,,xrp-updown-15m-1767939300
2026-01-09T06:23:16.484705+00:00,404,2.13,no_price_data,-,0.73,0.71,0.75,,xrp-updown-15m-1767939300
2026-01-09T06:23:22.994846+00:00,397,2.13,no_price_data,-,0.75,0.74,0.76,,xrp-updown-15m-1767939300
2026-01-09T06:23:30.172271+00:00,390,2.13,no_price_data,-,0.74,0.74,0.75,,xrp-updown-15m-1767939300
2026-01-09T06:23:38.041946+00:00,382,2.13,no_price_data,-,0.74,0.74,0.75,,xrp-updown-15m-1767939300
2026-01-09T06:23:44.755401+00:00,375,2.13,no_price_data,-,0.74,0.73,0.75,,xrp-updown-15m-1767939300
2026-01-09T06:23:51.261400+00:00,369,2.13,no_price_data,-,0.74,0.73,0.75,,xrp-updown-15m-1767939300
2026-01-09T06:23:59.659803+00:00,360,2.13,no_price_data,-,0.66,0.65,0.66,,xrp-updown-15m-1767939300
2026-01-09T06:24:08.347983+00:00,352,2.13,no_price_data,-,0.72,0.72,0.73,,xrp-updown-15m-1767939300
2026-01-09T06:24:21.399443+00:00,339,2.13,no_price_data,-,0.35,0.35,0.36,,xrp-updown-15m-1767939300
2026-01-09T06:24:35.255991+00:00,325,2.13,no_price_data,-,0.67,0.66,0.67,,xrp-updown-15m-1767939300
2026-01-09T06:24:46.343792+00:00,314,2.13,no_price_data,-,0.67,0.66,0.67,,xrp-updown-15m-1767939300
2026-01-09T06:24:56.378050+00:00,304,2.13,no_price_data,-,0.67,0.66,0.67,,xrp-updown-15m-1767939300
2026-01-09T06:25:05.777030+00:00,294,2.13,no_price_data,-,0.65,0.64,0.65,,xrp-updown-15m-1767939300
2026-01-09T06:25:15.512257+00:00,284,2.13,no_price_data,-,0.66,0.65,0.66,,xrp-updown-15m-1767939300
2026-01-09T06:25:23.157665+00:00,277,2.13,no_price_data,-,0.68,0.67,0.68,,xrp-updown-15m-1767939300
2026-01-09T06:25:30.644855+00:00,269,2.13,no_price_data,-,0.66,0.65,0.66,,xrp-updown-15m-1767939300
2026-01-09T06:25:38.637328+00:00,261,2.13,no_price_data,-,0.64,0.63,0.64,,xrp-updown-15m-1767939300
2026-01-09T06:25:46.704016+00:00,253,2.13,no_price_data,-,0.70,0.69,0.71,,xrp-updown-15m-1767939300
2026-01-09T06:25:55.865537+00:00,244,2.13,no_price_data,-,0.70,0.70,0.71,,xrp-updown-15m-1767939300
2026-01-09T06:26:04.812235+00:00,235,2.13,no_price_data,-,0.72,0.72,0.73,,xrp-updown-15m-1767939300
2026-01-09T06:26:11.830149+00:00,228,2.13,no_price_data,-,0.64,0.63,0.64,,xrp-updown-15m-1767939300
2026-01-09T06:26:16.852385+00:00,223,2.13,no_price_data,-,0.65,0.64,0.65,,xrp-updown-15m-1767939300
2026-01-09T06:26:21.952487+00:00,218,2.13,no_price_data,-,0.65,0.64,0.65,,xrp-updown-15m-1767939300
2026-01-09T06:26:27.173151+00:00,213,2.13,no_price_data,-,0.65,0.64,0.65,,xrp-updown-15m-1767939300
2026-01-09T06:26:32.710408+00:00,207,2.13,no_price_data,-,0.65,0.64,0.65,,xrp-updown-15m-1767939300
2026-01-09T06:26:38.434787+00:00,202,2.13,no_price_data,-,0.66,0.65,0.66,,xrp-updown-15m-1767939300
2026-01-09T06:26:44.632444+00:00,195,2.13,no_price_data,-,0.66,0.65,0.66,,xrp-updown-15m-1767939300
2026-01-09T06:26:52.997256+00:00,187,2.13,no_price_data,-,0.66,0.65,0.66,,xrp-updown-15m-1767939300
2026-01-09T06:27:01.281984+00:00,179,2.13,no_price_data,-,0.61,0.61,0.62,,xrp-updown-15m-1767939300
2026-01-09T06:27:07.807951+00:00,172,2.13,no_price_data,-,0.62,0.62,0.63,,xrp-updown-15m-1767939300
2026-01-09T06:27:14.877227+00:00,165,2.13,no_price_data,-,0.62,0.62,0.63,,xrp-updown-15m-1767939300
2026-01-09T06:27:22.088906+00:00,158,2.13,no_price_data,-,0.62,0.62,0.63,,xrp-updown-15m-1767939300
2026-01-09T06:27:28.955895+00:00,151,2.13,no_price_data,-,0.58,0.58,0.59,,xrp-updown-15m-1767939300
2026-01-09T06:27:36.309383+00:00,144,2.13,no_price_data,-,0.57,0.57,0.58,,xrp-updown-15m-1767939300
2026-01-09T06:27:42.846394+00:00,137,2.13,no_price_data,-,0.38,0.37,0.39,,xrp-updown-15m-1767939300
2026-01-09T06:27:50.294428+00:00,130,2.13,no_price_data,-,0.39,0.38,0.39,,xrp-updown-15m-1767939300
2026-01-09T06:27:57.814260+00:00,122,2.13,no_price_data,-,0.39,0.38,0.39,,xrp-updown-15m-1767939300
2026-01-09T06:28:05.275188+00:00,115,2.13,no_price_data,-,0.41,0.40,0.41,,xrp-updown-15m-1767939300
2026-01-09T06:28:13.580564+00:00,106,2.13,no_price_data,-,0.45,0.44,0.46,,xrp-updown-15m-1767939300
2026-01-09T06:28:19.905432+00:00,100,2.13,no_price_data,-,0.45,0.44,0.45,,xrp-updown-15m-1767939300
2026-01-09T06:28:27.944279+00:00,92,2.13,no_price_data,-,0.46,0.45,0.46,,xrp-updown-15m-1767939300
2026-01-09T06:28:34.026129+00:00,86,2.13,no_price_data,-,0.69,0.68,0.69,,xrp-updown-15m-1767939300
2026-01-09T06:28:40.160265+00:00,80,2.13,no_price_data,-,0.66,0.65,0.66,,xrp-updown-15m-1767939300
2026-01-09T06:28:46.137276+00:00,74,2.13,no_price_data,-,0.65,0.63,0.66,,xrp-updown-15m-1767939300
2026-01-09T06:28:52.211736+00:00,68,2.13,no_price_data,-,0.67,0.66,0.67,,xrp-updown-15m-1767939300
2026-01-09T06:28:58.541565+00:00,61,2.13,no_price_data,-,0.79,0.78,0.79,,xrp-updown-15m-1767939300
2026-01-09T06:29:04.281336+00:00,56,2.13,no_price_data,-,0.83,0.83,0.84,,xrp-updown-15m-1767939300
